CityID,CityName,State
1,Mumbai,Maharashtra
2,Delhi,Delhi
3,Bangalore,Karnataka
4,Hyderabad,Telangana
5,Chennai,Tamil Nadu
6,Kolkata,West Bengal
7,Pune,Maharashtra
8,Ahmedabad,Gujarat
9,Jaipur,Rajasthan
10,Surat,Gujarat
11,Lucknow,Uttar Pradesh
12,Kanpur,Uttar Pradesh
13,Nagpur,Maharashtra
14,Indore,Madhya Pradesh
15,Thane,Maharashtra
16,Bhopal,Madhya Pradesh
17,Visakhapatnam,Andhra Pradesh
18,Pimpri-Chinchwad,Maharashtra
19,Patna,Bihar
20,Vadodara,Gujarat
21,Ghaziabad,Uttar Pradesh
22,Ludhiana,Punjab
23,Agra,Uttar Pradesh
24,Nashik,Maharashtra
25,Faridabad,Haryana
26,Meerut,Uttar Pradesh
27,Rajkot,Gujarat
28,Kalyan-Dombivali,Maharashtra
29,Vasai-Virar,Maharashtra
30,Varanasi,Uttar Pradesh
31,Srinagar,Jammu and Kashmir
32,Aurangabad,Maharashtra
33,Dhanbad,Jharkhand
34,Amritsar,Punjab
35,Navi Mumbai,Maharashtra
36,Allahabad,Uttar Pradesh
37,Ranchi,Jharkhand
38,Howrah,West Bengal
39,Coimbatore,Tamil Nadu
40,Jabalpur,Madhya Pradesh
41,Gwalior,Madhya Pradesh
42,Vijayawada,Andhra Pradesh
43,Jodhpur,Rajasthan
44,Madurai,Tamil Nadu
45,Raipur,Chhattisgarh
46,Kota,Rajasthan
47,Chandigarh,Chandigarh
48,Guwahati,Assam
49,Solapur,Maharashtra
50,Hubli-Dharwad,Karnataka
