MenuID,RestaurantID,ItemName,Description,Price,Category,CuisineType,IsVegetarian,IsAvailable
1,1,Special Dish,Quos fuga porro a quae et modi minima doloribus.,121.92,Dessert,Beverages,False,True
2,1,Special Dish,Cupiditate libero enim numquam nisi earum ut.,165.54,Dessert,Beverages,False,True
3,1,Chef Special Royal,Nisi facilis praesentium occaecati doloribus libero rerum occaecati repellat expedita.,84.45,Dessert,Beverages,False,True
4,1,Chef Special Royal,Blanditiis accusantium voluptates sapiente architecto illum deserunt accusamus saepe voluptatibus.,195.35,Main Course,Beverages,True,True
5,1,Chef Special Deluxe,Iure placeat inventore mollitia exercitationem totam neque quam reiciendis at.,159.09,Dessert,Beverages,True,False
6,1,House Special Deluxe,Repudiandae nostrum a enim inventore dolor a rerum veniam atque maxime ullam odio.,238.02,Appetizer,Beverages,False,True
7,1,Chef Special Classic,Facilis sunt incidunt doloremque fuga vitae tempore dolor laudantium.,137.46,Soup,Beverages,False,True
8,1,Chef Special,Debitis minima a dicta quia amet cupiditate reprehenderit sunt ab qui itaque.,51.37,Beverage,Beverages,False,True
9,1,Special Dish Royal,Beatae perferendis rem eius rem est.,235.58,Salad,Beverages,True,True
10,1,House Special,Optio magnam nam sapiente laboriosam harum non.,221.56,Salad,Beverages,True,True
11,1,Chef Special Royal,Illum perspiciatis dolor praesentium veniam neque labore.,46.71,Bread,Beverages,True,True
12,1,House Special Royal,Deleniti corrupti quam vero dolorum quo rerum explicabo est nulla.,599.94,Main Course,Beverages,False,True
13,1,House Special,Numquam unde reprehenderit occaecati est fugit fugiat aliquid ipsam consequuntur iure quibusdam ducimus.,139.43,Soup,Beverages,True,True
14,1,House Special Special,Optio quibusdam ex architecto ipsa nobis nulla nihil sapiente reiciendis unde.,76.57,Appetizer,Beverages,True,True
15,1,Special Dish Special,Nemo quam veniam ratione illum consequatur voluptatem ea sint veniam harum.,103.05,Soup,Beverages,False,True
16,1,Special Dish,Maxime earum hic sit labore asperiores nihil quasi.,80.73,Soup,Beverages,False,True
17,1,Chef Special Royal,Voluptate sunt odio neque voluptatibus nostrum earum.,232.16,Appetizer,Beverages,False,True
18,1,Chef Special Classic,Voluptates quos fuga molestias illo earum earum tenetur.,147.07,Beverage,Beverages,True,True
19,1,Chef Special Special,Iusto dolores molestiae assumenda itaque dolores recusandae excepturi cum repellat sunt a.,67.64,Beverage,Beverages,False,True
20,1,Special Dish Classic,Optio nihil ab mollitia sed veritatis suscipit eveniet unde alias rem harum.,132.02,Soup,Beverages,True,True
21,1,Chef Special Deluxe,Ab sunt repellat dolores laboriosam praesentium eius sint distinctio explicabo tempore eius cum.,199.63,Salad,Beverages,False,True
22,1,Special Dish Classic,Ipsum necessitatibus non id molestiae adipisci a.,216.13,Salad,Beverages,False,True
23,1,Special Dish Royal,Voluptas ipsum fuga vitae praesentium hic quisquam.,69.46,Bread,Beverages,True,True
24,1,Chef Special Royal,Omnis nobis suscipit maxime ducimus nemo voluptatibus accusantium quod omnis a itaque doloribus.,256.78,Main Course,Beverages,False,True
25,1,Chef Special Deluxe,Impedit doloribus quos nostrum voluptates alias dolor voluptates aliquam quae possimus assumenda pariatur.,96.98,Dessert,Beverages,False,True
26,1,Special Dish Deluxe,Sed doloremque sint ipsum quos neque praesentium.,68.61,Bread,Beverages,True,True
27,1,Special Dish Deluxe,Repudiandae voluptatum quaerat eum cupiditate sequi.,106.39,Soup,Beverages,True,True
28,2,House Special Deluxe,Voluptatibus itaque molestias numquam odio ratione aperiam ad ab consequatur adipisci incidunt culpa.,172.33,Soup,Street Food,False,True
